Epoch,Train Loss,Val Loss,Epoch Time
1,0.006539242644253343,0.0035100087473190138,1068.0289664268494
2,0.0033373943962100873,0.0032066132670010893,1067.4335503578186
3,0.003213247614662503,0.0031040380466341353,1067.5801136493683
4,0.0031381338551443967,0.003077907648703055,1067.5542788505554
5,0.003075758049229389,0.002960274981557053,1067.5750813484192
6,0.0030396720495355378,0.002930216035262371,1067.437165260315
7,3.185274937912068e+19,1802977683002709.2,1067.3634898662567
8,844240298770114.8,349407847510140.1,1067.3284845352173
9,227536784467498.12,150461822350925.56,1066.7837538719177
10,122882303091108.31,99338662985231.52,1066.6415710449219
11,84712165745837.47,70566887769553.45,1066.8209388256073
12,60645910159130.02,50758418257237.336,1066.766381263733
13,43074290228637.37,35139161535084.605,1066.7366154193878
14,29106239916949.934,23575892987779.88,1066.735984802246
15,18993536483026.65,14732410872056.242,1066.6184165477753
16,11930247564070.908,9203096571283.395,1066.7658033370972
17,7470482101552.325,5756214596949.333,1066.862075328827
18,4643986676102.567,3603735979721.697,1066.7033932209015
19,2841792518946.943,2150354760797.0908,1066.7654252052307
20,1692091586347.8645,1303138850629.818,1066.8783965110779
21,1011247191756.7009,754328172606.0605,1066.7221639156342
